ID,S0,ko,ssq_res,res2,res5,res27,res51,res72,Avg-0to14,Avg-14to20,Avg-36to42,Avg-60to66,Avg-88to94
ln1-1,266.2746099616,11.0569393936,0.1136038473,0.2686251399,-0.1103444059,0.0208471138,-0.0903737532,0.1437583952,0.944444444,2.838888889,5.711111111,2.962962963,0.481481481
ln2-2,273.2442591397,10.8166601827,0.3532084328,0.3938540965,0.0587847781,-0.0828267625,-0.2233902898,0.371306126,0.822222222,2.672222222,5.855555556,3.259259259,0.351851852
ln3-3,306.5999179312,10.6223330153,1.5914801189,0.0528299005,-0.4783823306,0.5911810859,-0.6834012503,0.737093699,1.277777778,3.438888889,5.594444444,4.268518519,0.287037037
ln4-4,292.0883144637,10.2511526698,1.670493954,-0.1004648801,-0.4336825558,0.6165483271,-0.7194457724,0.7580146065,1.327777778,3.177777778,5.25,4.166666667,0.259259259
ln5-5,299.755164683,10.2333901502,1.249414683,0.3219651407,-0.3328159525,0.3902916895,-0.6476015045,0.6806404053,0.933333333,3.133333333,5.572222222,4.212962963,0.407407407
ln6-6,293.4732334083,9.5751456812,2.4422132448,0.3217901265,-0.251426899,0.5133460846,-1.0340760768,0.9708817325,0.83,2.828888889,5.135555556,4.62962963,0.277777778
ln7-7,349.999999488,7.0072978189,1.2330377217,0.6275780552,-0.0566141776,0.2246486145,-0.8765604251,0.1309700821,0.366666667,2.255555556,4.794444444,5.194444444,2.722222222
ln8-8,277.9855350442,6.0548343147,0.2190857765,0.1709574614,-0.1813642459,0.219333031,-0.2976474788,0.1423563595,0.522222222,1.75,3.744444444,3.768518519,2.148148148
ln9-9,281.002967588,7.8919190358,1.5000001081,0.5175844027,-0.0951063172,0.3373795886,-0.8752445658,0.585818441,0.394444444,2.15,4.505555556,4.481481481,1.138888889
ln10-1,311.0187945207,6.0924103568,0.7051022947,-0.1418095367,-0.5803854443,0.501355856,-0.2641068895,0.1644230599,0.916666667,2.316666667,3.733333333,4.046296296,2.481481481
ln11-2,349.9999975841,6.3071053718,2.6451450734,0.4618156287,0.1711556804,0.5189509805,-1.4505914917,0.170444524,0.433333333,1.811111111,4.1,5.611111111,2.851851852
ln12-3,287.0226906822,8.0593175604,0.3951382213,0.4167041233,-0.0917099713,0.1166090275,-0.3704999916,0.2494338931,0.533333333,2.227777778,4.861111111,4.046296296,1.481481481
ln13-4,286.8941453357,10.7281510916,0.521115787,0.2794018863,-0.2305292042,0.2078374833,-0.3668384493,0.4605863564,0.983333333,3.055555556,5.738888889,3.62962963,0.37962963
ln14-5,312.0258249987,7.6437825131,1.1073370183,0.4244923148,-0.089939547,0.3380864056,-0.782313419,0.4390187556,0.55,2.266666667,4.7,4.768518519,1.740740741
ln15-6,349.9999999443,7.3562637643,1.5092743632,0.4436125185,-0.0933206011,0.2323218801,-1.1177485033,0.0209377469,0.6,2.4,4.977777778,5.490740741,2.722222222
ln16-7,300.7471481382,11.3743555143,1.1204664781,0.7100408669,-0.2254624684,0.0752175471,-0.4171806103,0.6211101189,0.688888889,3.338888889,6.266666667,3.731481481,0.148148148
ln17-8,301.2748119896,8.8444057255,0.8317907677,0.5128998986,-0.4170730216,0.3149671732,-0.4358576421,0.3249590005,0.577777778,2.855555556,5.144444444,4.240740741,1.268518519
ln18-9,306.194901743,11.24445236,0.5823370486,0.3953322972,-0.1684554683,0.1254224249,-0.3653049407,0.4984914184,1.011111111,3.294444444,6.255555556,3.796296296,0.342592593
ln19-0,295.228019165,7.3868852916,0.7285020331,0.3332279136,-0.458148434,0.3998495946,-0.4304421048,0.2498021201,0.561111111,2.466666667,4.361111111,4.212962963,1.824074074
ln20-2,313.1883899931,9.9433762496,3.6774699277,0.0708870394,-0.5686470571,0.878619324,-1.180828966,1.0875460984,1.2,3.394444444,5.15,5,0.222222222
ln21-3,328.2398112919,9.8659824906,3.5350064486,0.1507391542,-0.438624786,0.811028847,-1.2367903759,1.064177724,1.166666667,3.355555556,5.366666667,5.287037037,0.425925926
ln22-4,323.8304153808,10.67834467,2.0317844505,0.0631418655,-0.4285153563,0.6304778216,-0.8334600897,0.8671874885,1.344444444,3.544444444,5.8,4.666666667,0.287037037
ln23-5,268.9614603545,12.0193565124,1.3771465084,-0.4748816561,-0.6647550318,0.7303487473,-0.3279979372,0.2621883467,1.805555556,3.65,5.283333333,2.990740741,0.194444444
ln24-6,306.3182260134,6.3965406735,0.6806437193,-0.0480514242,-0.72931177,0.3746652134,0.0770815335,0.0111147263,0.85,2.527777778,3.988888889,3.722222222,2.509259259
ln25-7,347.1040890713,7.9181419448,1.1458914292,0.0644659497,-0.3760264685,0.5928180217,-0.7036085792,0.3922262433,1.05,2.838888889,4.888888889,5.101851852,2.111111111
ln26-8,349.9999832936,6.2815896222,1.091302393,0.5637580851,-0.253421498,0.3928277179,-0.7167892767,0.2028700955,0.327777778,2.227777778,4.211111111,4.87037037,2.824074074
ln27-9,349.9999999603,7.2503319493,1.2871665569,0.1508501945,-0.3648966348,0.3249310709,-0.9939811748,-0.1941196661,0.877777778,2.638888889,4.827777778,5.351851852,2.972222222
ln28-0,324.4690281131,10.4418598166,1.9064745815,0.5068498611,-0.1353186172,0.297321028,-0.867269208,0.8892193199,0.872222222,3.188888889,6.055555556,4.759259259,0.351851852
ln29-1,337.4674269319,7.6959815805,0.7057035447,0.6498267405,-0.2657935103,0.1764311617,-0.3808255171,0.1913805962,0.405555556,2.605555556,5.111111111,4.657407407,2.277777778
ln30-3,286.016613509,11.3179373176,0.4335767559,0.3002318679,-0.3092596831,0.2121546703,-0.2662567513,0.3631718162,1.027777778,3.277777778,5.894444444,3.37037037,0.324074074
ln31-4,316.6158000599,10.6950754796,1.6256819067,0.641604893,-0.0655594766,0.1263590165,-0.7147035106,0.8264135248,0.738888889,3.127777778,6.216666667,4.435185185,0.259259259
ln32-5,292.4326894814,10.2607280538,1.3824156282,0.302034667,-0.111751856,0.2743747627,-0.7255677428,0.8227831738,0.927777778,2.861111111,5.6,4.175925926,0.194444444
ln33-6,262.20083194,13.2390355763,0.4994942436,0.6746586971,-0.1648700729,-0.1243165792,0.0402472216,0.0085612162,0.755555556,3.372222222,6.266666667,2.194444444,0.259259259
ln34-7,317.379256445,9.2691636864,3.361865911,-0.1335110486,-0.2321375093,0.7909072184,-1.2801128312,1.0128819275,1.333333333,2.9,5.022222222,5.259259259,0.592592593
ln35-8,315.6507076889,9.8112693173,2.9067042916,0.0188209866,-0.4424665557,0.7749645529,-1.0855089345,0.9652324611,1.244444444,3.25,5.233333333,4.962962963,0.416666667
ln36-9,344.7436892401,8.0589105357,2.0588263857,0.1604014262,-0.4748841933,0.7604813027,-0.9635071042,0.5485481013,0.966666667,2.966666667,4.772222222,5.342592593,1.87037037
ln37-0,312.4502911675,9.1135286177,2.0505675373,0.245983925,-0.1436778116,0.4998390667,-1.033892319,0.8066248896,0.916666667,2.733333333,5.194444444,4.962962963,0.805555556
ln38-1,334.0710164322,7.5105094229,1.3357528562,0.0259518749,-0.6181357833,0.6923368127,-0.5992646119,0.3384363638,0.994444444,2.883333333,4.472222222,4.824074074,2.157407407
ln39-2,315.4865373231,10.5448715462,1.7144359853,0.3122156481,-0.2943911066,0.431462724,-0.7917497646,0.8469140918,1.044444444,3.305555556,5.844444444,4.527777778,0.277777778
