ID,Week1-0to14,Week1-14to20,Week1-36to42,Week2-0to14,Week2-14to20,Week2-36to42,Week3-0to14,Week3-14to20,Week3-36to42,Week3-60to66,Week3-88to94,Week4-0to14,Week4-14to20,Week4-36to42,Week4-60to66,Week4-88to94,Week5-0to14,Week5-14to20,Week5-36to42,Week5-60to66,Week5-88to94,Avg-0to14,Avg-14-20,Avg-36to42,Avg-60to66,Avg-88to94,kc,ko,ssq_res,res2,res5,res27,res51,res72
ln1-1,1.027777778,2.194444444,5.416666667,0.611111111,3.25,5.722222222,1.361111111,2.916666667,5.722222222,2.472222222,0.583333333,0.555555556,2.833333333,6.027777778,2.583333333,0.388888889,1.166666667,3,5.666666667,3.833333333,0.472222222,0.944444444,2.838888889,5.711111111,2.962962963,0.481481481,-3.47611304788298E-009,2.9127901304,14.2707566923,-0.0612187345,-1.1408758406,-3.0129412286,-0.3586156253,1.938811817
ln2-2,0.138888889,1.916666667,4.583333333,1.166666667,2.555555556,6.777777778,1.027777778,2.555555556,4.805555556,2.166666667,0.416666667,0.75,3.166666667,7.111111111,2.361111111,0.194444444,1.027777778,3.166666667,6,5.25,0.444444444,0.822222222,2.672222222,5.855555556,3.259259259,0.351851852,-3.51174309836618E-009,2.3299192724,19.3390092404,-0.115322883,-1.3104178036,-3.6625419392,-1.1033315747,1.7253872125
ln3-3,0.861111111,3.277777778,5.388888889,1.916666667,3.444444444,5.305555556,0.805555556,2.833333333,5.333333333,4,0.527777778,1.972222222,4.027777778,6.722222222,1.916666667,0.222222222,0.833333333,3.611111111,5.222222222,6.888888889,0.111111111,1.277777778,3.438888889,5.594444444,4.268518519,0.287037037,-3.4142779618558E-009,3.8989968559,12.525846381,-0.0966816386,-1.1760725633,-2.0895045807,-1.0453047257,2.382154698
ln4-4,0.944444444,2.527777778,4.361111111,2.166666667,2.583333333,5.055555556,1.166666667,2.888888889,5.111111111,3.638888889,0.5,1.694444444,4.027777778,6.111111111,3.361111111,0.055555556,0.666666667,3.861111111,5.611111111,5.5,0.222222222,1.327777778,3.177777778,5.25,4.166666667,0.259259259,-3.36456436593484E-009,4.6693994597,7.0360256797,0.0855969796,-0.4772861443,-1.1610281533,-0.6147605353,2.2527716007
ln5-5,0.444444444,2.305555556,5.166666667,1.527777778,3.333333333,4.916666667,0.888888889,2.666666667,5.305555556,4.944444444,0.583333333,0.805555556,3.277777778,5.861111111,3.138888889,0.305555556,1,4.083333333,6.611111111,4.555555556,0.333333333,0.933333333,3.133333333,5.572222222,4.212962963,0.407407407,-3.5024646055781E-009,2.4827768263,20.2730849721,-0.1801725038,-1.6831858203,-3.2448233064,-1.9344705268,1.7710036211
ln6-6,0.4,2.2,4.733333333,1.305555556,3.083333333,4.75,1.138888889,2.833333333,4.777777778,4.305555556,0.472222222,0.583333333,2.916666667,5.75,4.416666667,0.138888889,0.722222222,3.111111111,5.666666667,5.166666667,0.222222222,0.83,2.828888889,5.135555556,4.62962963,0.277777778,-3.89970176090548E-009,2.2460869409,20.9145128367,-0.1484780894,-1.5155869931,-3.0168011555,-2.5422870113,1.7410200172
ln7-7,0.222222222,1.777777778,4.305555556,0.944444444,2.527777778,4.027777778,0.055555556,1.611111111,4.111111111,3.416666667,2.388888889,0.472222222,2.805555556,5.722222222,5.666666667,3.138888889,0.138888889,2.555555556,5.805555556,6.5,2.638888889,0.366666667,2.255555556,4.794444444,5.194444444,2.722222222,-3.52528914139438E-009,2.1038322976,20.0338718761,0.2717826281,-1.0246418867,-2.8025871646,-3.2255798185,-0.807003781
ln8-8,0.111111111,1.388888889,2.527777778,1.055555556,1.75,3.472222222,0.833333333,2.138888889,3.333333333,2.944444444,2.805555556,0.527777778,2.611111111,4.444444444,4.333333333,1.722222222,0.083333333,0.861111111,4.944444444,4.027777778,1.916666667,0.522222222,1.75,3.744444444,3.768518519,2.148148148,-0.0184068463,3.5413330757,1.1792187276,0.5701318973,0.3916996364,-0.160201219,-0.3343385816,0.7505284967
ln9-9,0.416666667,1.944444444,4,0.166666667,1.833333333,4.5,0.75,2.5,4.527777778,4.5,1.083333333,0.361111111,2.694444444,5.472222222,4.805555556,0.861111111,0.277777778,1.777777778,4.027777778,4.138888889,1.472222222,0.394444444,2.15,4.505555556,4.481481481,1.138888889,-3.51855865391259E-009,2.2150861134,13.2276096055,0.2776919213,-0.8546434822,-2.4143606277,-2.419737159,0.857797273
ln10-1,0.138888889,1.222222222,2.055555556,2.055555556,2.388888889,3.277777778,1.416666667,2.666666667,3.833333333,3.166666667,3.083333333,0.416666667,2.472222222,4.166666667,3.805555556,2.194444444,0.555555556,2.833333333,5.333333333,5.166666667,2.166666667,0.916666667,2.316666667,3.733333333,4.046296296,2.481481481,-3.50890807201224E-009,2.3767074501,6.7167675288,-0.1956056354,-0.9278082676,-1.4990453213,-1.8525046402,-0.3725150539
